Node Index,Normal X,Normal Y,Normal Z
1,-0.04320287715475969,0.00752178071937441,-0.9990380043924058
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.04081315649933768,-0.16087026495533274,-0.9861313523612165
13,0.0,0.0,0.0
14,0.03639895166460501,-0.04650621752991863,-0.9982546208502006
15,0.0,0.0,0.0
16,-0.06213100778600576,0.009359236441019811,-0.9980241192299595
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.02917563658512968,-0.055018772072106474,-0.9980589746851286
25,-0.05255546894040856,-0.013370709484850736,-0.9985284907364064
26,0.016521532442556972,0.06328283847548884,-0.9978588684379344
27,-0.01865168364416879,0.020019695059630107,-0.9996255931632388
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.03733166121139607,0.07080815008872829,-0.9967911280464978
33,0.05218995335214999,0.012216373408917059,-0.9985624512216721
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,-0.03546968041756774,-0.021642732641040448,-0.9991363740225376
39,0.04000359354598599,0.011404037549585633,-0.9991344556319611
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,-0.02573367618173975,-0.04238844866761174,-0.9987697418973638
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,-0.033947946361388356,-0.08777994016282913,-0.995561258307521
63,0.47216537455522395,0.26716842381258255,-0.8400481488513771
64,-0.008005235655319506,-0.07464372067357855,-0.99717813411953
65,0.0,0.0,0.0
66,-0.2402676307064055,0.11536197717095716,-0.9638273081096727
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.06549596620457969,0.06301437593291725,-0.9958611684550782
70,0.0,0.0,0.0
71,-0.01577044006838806,0.028571235782785795,-0.9994673469933342
72,-0.04450631909096952,0.1635291853886148,-0.9855340649044602
73,0.0,0.0,0.0
74,-0.09934077053831278,0.22672688634349777,-0.9688789038460053
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.09851826634832969,-0.02806571329721995,-0.9947393964917836
78,0.0,0.0,0.0
79,0.011061622281794756,0.06941814482192077,-0.9975263212978281
80,0.0,0.0,0.0
81,-0.04379118114504543,-0.028808028801023573,-0.9986252700240072
82,-0.06332416123682477,0.022237965157264616,-0.9977452197376427
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,-0.07970435440759725,-0.06626080798333371,-0.9946138553297275
86,0.14680908492271108,0.05207990179101549,-0.9877928813337309
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.3891219157787643,-0.3922736157747612,-0.8334899789605505
90,-0.022446044064408217,-0.0673455691079436,-0.9974771924346871
91,0.016543018545474675,-0.0002671722899862385,-0.9998631192100104
92,-0.04500061731391503,0.07100849450505443,-0.9964601036416322
93,-0.021740043224568652,0.08304285394348689,-0.9963088150415585
94,0.035688976856913565,-0.06548075184609795,-0.9972154070553545
95,0.1063416204039113,-0.10807101340627408,-0.9884392322400054
96,0.0,0.0,0.0
97,-0.014862443356930793,-0.10034525740912045,-0.9948416643330533
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.09782390465157001,-0.0595522576857429,-0.9934203603124165
101,-0.0038194692271667826,-0.03614223837699964,-0.9993393569053121
102,0.13591907203251866,0.06903038235352263,-0.9883121026123001
103,0.0953963134985479,-0.0017009943176768524,-0.9954379187017229
104,0.17289036379669764,-0.00540424545006928,-0.9849262491361275
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.003796115847520918,-0.03957049196628084,-0.999209570445569
108,0.0016419463441071972,0.23325953733721294,-0.9724131283839357
109,0.017839593697131558,-0.03222243028618095,-0.999321501761657
110,0.03269857410094193,-0.015822981358371024,-0.9993400004566504
111,-0.04730378513617204,-0.0023042240748368877,-0.9988778916680475
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.3371746595165411,0.06567527946367363,-0.9391485540889007
117,0.0,0.0,0.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.10104797940241769,-0.12957230922236856,-0.9864077871455961
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,0.006485903608222304,-0.0034131597480646625,-0.9999731413367656
128,-0.006031553768628461,-0.0003102625838066041,-0.9999817618818181
129,0.0,0.0,0.0
130,-0.1064381256394224,-0.02011281774588095,-0.9941158886028768
131,0.002656607585033997,0.005937317035267866,-0.9999788451275167
132,0.039304049115757064,0.08143259899554516,-0.9959035714083653
133,-0.028029710208044106,0.08150437717974267,-0.9962787621174082
134,0.0,0.0,0.0
135,0.0,0.0,0.0
136,0.0,0.0,0.0
137,0.0,0.0,0.0
138,0.0,0.0,0.0
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
