14378,11313,9238,2576
13478,6719,11572,4094
2981,5613,13526,9108
3203,12412,12477,15070
4398,9948,13919,10853
2591,13113,10362,12706
4896,10594,8225,6248
17592,10204,14097,17572
7028,13371,11132,14733
5472,15223,5396,11521
2279,16780,6100,1060
2360,9390,838,12190
10805,3953,4331,13206
4688,1777,14896,12722
12527,10487,6290,2544
17368,1108,7969,4201
11425,2884,3711,3760
2638,2635,2636,4976
14240,3743,9630,9053
9365,3690,9363,9971
11884,8068,2007,16323
11778,10921,8643,231
8629,12482,5713,5182
1896,4024,5092,12085
4968,12356,9090,3858
14490,14614,10009,12726
16474,10461,4758,15894
8671,5508,13910,3329
5542,16427,4921,10402
3972,8757,7137,11118
7873,4028,12034,5833
2303,1741,10502,2281
4636,8132,1701,96
9607,6667,4294,842
2562,4322,12904,7838
12784,15330,10614,13585
10496,2639,3224,14213
12942,7229,6586,5343
16861,3652,15999,7553
1519,3582,6700,8102
17334,10320,13667,2095
7520,13890,3056,13161
15160,5420,13840,3253
3318,2319,5200,7831
1955,14560,14365,10005
1605,16957,13167,7866
6465,795,8540,5660
2238,10989,4938,7352
17270,6283,7881,3402
10066,12308,2676,7511
5932,1699,7251,14999
468,11432,11677,4043
14689,14500,2935,11698
4957,2212,5267,14773
11950,6624,8654,614
13297,11096,408,6210
12754,17012,7637,10301
15511,9171,6145,4583
617,3353,11232,10729
1519,17139,1834,8521
9419,10163,13603,574
1603,10368,13006,8195
9566,2525,7274,6511
2809,10707,15111,6211
16605,10456,10681,16342
6108,189,8032,6843
13174,7431,2178,5376
14729,4967,15673,9946
6091,12051,10658,1695
8141,3952,2317,877
17136,5504,9506,10070
9961,353,245,2874
11005,6926,13909,17027
2907,8940,6401,4171
1019,10692,7835,12349
15736,390,9606,4760
4661,6715,11897,7724
4406,7362,9736,9971
3775,6929,14955,11942
14527,4367,7919,7810
3360,4985,1877,5470
9991,11037,7585,2766
1573,14322,16770,10031
8846,4950,15690,6866
13346,12070,4916,15286
17029,15560,14594,4175
14727,14674,4907,10442
1539,10626,16513,5101
13148,4950,11962,12726
15970,1941,16505,3315
11857,2442,9658,12289
10991,17197,6119,7993
14184,2806,6577,16468
7833,7555,2372,17087
4063,6298,9743,2720
3018,8688,1837,6967
1805,14283,14680,2102
7968,15754,3341,8889
5264,3491,16625,1682
2467,5677,7212,1289
6451,12166,6699,7374
6792,14901,3134,1111
4159,5685,17277,9514
8415,13096,6748,14232
10457,9734,4130,17033
4783,11926,11916,4617
739,3623,14316,8878
10532,8087,8712,4326
11928,1500,2486,6014
7760,16662,6786,3966
14862,5651,391,3740
16526,5073,10475,3680
2215,12568,6338,4124
8324,13711,3982,5602
8767,11379,2003,1186
12056,5839,3666,11210
4691,10414,669,947
1790,1012,16538,17266
1219,5662,12945,3461
14610,1823,11628,1344
9424,2795,3984,9049
7548,15712,14615,4808
14433,16095,5366,11589
10650,12981,5960,8339
10722,2529,5804,11825
2960,5347,16579,14511
14095,3037,14693,16693
17457,14328,16753,1978
15712,6732,14615,16267
13884,1327,10810,1451
1961,2916,12644,9570
4610,3773,11983,1236
